old_url,language,old_page_title,target_url,http_status,reason,test_status
"https://www.dentvitalis.com/","it","I migliori dentisti Croazia per denti perfetti - DentVitalis","https://www.dentvitalis.com/","200","Zadržati istu sadržajnu namjenu i kanonsku putanju sa završnim /. Ažuriran sadržaj nije doslovna kopija starog; poslovne i pravne razlike provjeriti prije produkcije. Za stari oblik bez / predvidjeti jedan kanonski 301, ne dodatnu sadržajnu redirekciju.","proposal-only:target-route-exists:not-deployed"
"https://www.dentvitalis.com/404","it","","","","Inventar od 9. rujna bilježi HTTP 404, ne dokazan trajno uklonjen sadržaj. Provjeriti stari sadržaj, sitemap, promet i backlinkove; zatim odlučiti obnova, stvarni ekvivalent ili uklanjanje. Bez automatskog 301/410.","proposal-only:owner-decision-required:not-deployed"
"https://www.dentvitalis.com/accommodation","it","Alloggio Organizzato - DentVitalis","https://www.dentvitalis.com/informazioni/alloggio/","301","Obje stare adrese nude informacije o smještaju pacijenata; nova stranica opisuje aktualni smještaj. /accommodation već vodi na /alloggio: oba ulaza poslati izravno na novi cilj, bez lanca.","proposal-only:target-route-exists:not-deployed"
"https://www.dentvitalis.com/action","it","Denti fissi in 24 ore","","","Stara kampanja s vlastitom ponudom i obrascem. Pregledati aktivne oglase, cijenu/opseg, konverzije i UTM prije odluke o zamjeni ili gašenju. Ne slati sve kampanje na naslovnicu ili novi medicinski paket bez potvrde.","proposal-only:owner-decision-required:not-deployed"
"https://www.dentvitalis.com/all-on-four","it","Implantologia all on 4 Croazia - DentVitalis","","","Stari All-on-4 je fiksni most; novi fiksni paket nema ograničen broj implantata. Mogući kandidat zahtijeva stručnu potvrdu. Ne preusmjeravati na novu protezu na 4 implantata s locatorima samo zbog broja 4.","proposal-only:owner-decision-required:not-deployed"
"https://www.dentvitalis.com/alloggio","it","Alloggio Organizzato - DentVitalis","https://www.dentvitalis.com/informazioni/alloggio/","301","Obje stare adrese nude informacije o smještaju pacijenata; nova stranica opisuje aktualni smještaj. /accommodation već vodi na /alloggio: oba ulaza poslati izravno na novi cilj, bez lanca.","proposal-only:target-route-exists:not-deployed"
"https://www.dentvitalis.com/allungamento-clinico-della-corona-del-dente-naturale","it","Allungamento clinico della corona del dente naturale","","","Nema odgovarajućeg novog detaljnog članka za ovu uslugu. Puko spominjanje u cjeniku ili drugom članku nije ekvivalent. Odlučiti o očuvanju/izradi sadržaja; 410 tek uz izričitu odluku o trajnom uklanjanju i provjeru prometa.","proposal-only:owner-decision-required:not-deployed"
"https://www.dentvitalis.com/bruxismo","it","Bruxismo - digrignamento dei denti - DentVitalis","","","Nema odgovarajućeg novog detaljnog članka za ovu uslugu. Puko spominjanje u cjeniku ili drugom članku nije ekvivalent. Odlučiti o očuvanju/izradi sadržaja; 410 tek uz izričitu odluku o trajnom uklanjanju i provjeru prometa.","proposal-only:owner-decision-required:not-deployed"
"https://www.dentvitalis.com/chi-siamo","it","Chi siamo - Clinica DentVitalis","https://www.dentvitalis.com/chi-siamo/","301","Zadržati istu sadržajnu namjenu i kanonsku putanju sa završnim /. Ažuriran sadržaj nije doslovna kopija starog; poslovne i pravne razlike provjeriti prije produkcije. Za stari oblik bez / predvidjeti jedan kanonski 301, ne dodatnu sadržajnu redirekciju.","proposal-only:target-route-exists:not-deployed"
"https://www.dentvitalis.com/condizioni-di-utilizzo","it","Condizioni d’utilizzo - DentVitalis","https://www.dentvitalis.com/condizioni-di-utilizzo/","301","Zadržati istu sadržajnu namjenu i kanonsku putanju sa završnim /. Ažuriran sadržaj nije doslovna kopija starog; poslovne i pravne razlike provjeriti prije produkcije. Za stari oblik bez / predvidjeti jedan kanonski 301, ne dodatnu sadržajnu redirekciju.","proposal-only:target-route-exists:not-deployed"
